loan_id,product_type,date_fulfilled_utc,,,,
842640,"Fenix Power TV 24in FTA Upgrade, BJ",12/22/19 11:24,,,,
860595,Fenix Power TV 24in FTA BJ,1/6/20 15:08,,,,
675225,Fenix Radio +5,8/23/19 14:51,,,,
788822,Fenix Power TV 24in FTA BJ,11/18/19 16:04,,,,
891411,Fenix Radio +3,2/1/20 12:37,,,,
513524,Fenix Radio +3,3/28/19 20:28,,,,
867132,Fenix Power TV 24in FTA BJ,1/13/20 11:17,,,,
756283,Fenix Radio +3,10/29/19 16:07,,,,
559436,Fenix Radio +5,5/16/19 15:09,,,,
514576,Fenix 3,3/31/19 12:10,,,,
571107,Fenix Radio +5,5/23/19 14:42,,,,
621955,Fenix Radio +5,7/3/19 8:19,,,,
598695,Fenix 3,6/12/19 11:20,,,,
821066,Fenix Radio +3,12/9/19 14:00,,,,
816058,Fenix Radio +3,12/6/19 12:34,,,,
544498,Fenix Radio +5,5/4/19 15:09,,,,
553639,Fenix Radio +3,5/13/19 9:36,,,,
425846,Fenix Woofer +3,12/20/18 9:34,,,,
553104,Fenix Radio +3,5/12/19 14:17,,,,
611129,Fenix 3,6/22/19 15:23,,,,
784902,Fenix Radio +3,11/16/19 11:21,,,,
437791,Fenix 2,12/31/18 12:38,,,,
904957,Fenix Power TV 24in FTA BJ,2/11/20 15:22,,,,
651425,Fenix 3,7/31/19 12:26,,,,
791793,Fenix 3,11/19/19 20:36,,,,
398999,Fenix 2,11/29/18 10:50,,,,
872741,Fenix Radio +3,1/18/20 7:36,,,,
778529,Fenix 2,11/13/19 13:40,,,,
913839,Fenix 2,2/19/20 13:55,,,,
818631,Fenix 2,12/7/19 17:03,,,,
735648,Fenix Radio +3,10/10/19 17:36,,,,
802065,Fenix Radio +3,11/27/19 14:54,,,,
870330,Fenix Power TV 24in FTA BJ,1/15/20 16:37,,,,
811450,Fenix 2,12/3/19 18:19,,,,
527419,Fenix Radio +3,4/12/19 19:18,,,,
783583,Fenix 2,11/15/19 14:52,,,,
547821,Fenix Radio +3,5/8/19 13:17,,,,
793284,Fenix 3,11/21/19 18:31,,,,
666737,Fenix Radio +3,8/15/19 16:03,,,,
614823,Fenix Radio +5,6/26/19 10:50,,,,
673159,"Fenix Power TV 19in FTA Upgrade, BJ",8/21/19 17:16,,,,
806552,Fenix Power TV 24in FTA BJ,11/30/19 10:31,,,,
834052,Fenix Power TV 24in FTA BJ,12/17/19 14:36,,,,
750288,Fenix 3,10/23/19 13:09,,,,
820902,Fenix Power 4 + Woofer BJ,12/9/19 14:38,,,,
647456,Fenix Power TV 24in FTA BJ,7/30/19 14:54,,,,
858634,Fenix Power TV 24in FTA BJ,1/4/20 11:06,,,,
741782,Fenix Radio +3,10/16/19 12:59,,,,
817883,Fenix Radio +3,12/7/19 12:06,,,,
586887,Fenix 3,6/3/19 9:28,,,,
823540,Fenix Radio +3,12/10/19 18:52,,,,
569106,Fenix 3,5/22/19 16:14,,,,
536393,Fenix 3,4/25/19 14:21,,,,
628289,Fenix Radio +5,7/8/19 19:11,,,,
570547,Fenix 2,5/23/19 12:12,,,,
615334,Fenix 2,6/26/19 14:50,,,,
736808,Fenix Power TV 24in FTA BJ,10/11/19 16:15,,,,
615702,Fenix Radio +3,6/27/19 7:45,,,,
616877,Fenix Radio +3,6/29/19 9:35,,,,
515377,Fenix 2,3/30/19 13:42,,,,
532670,Fenix Woofer +3,4/19/19 15:10,,,,
514678,Fenix Radio +5,3/29/19 16:48,,,,
458708,Fenix Radio +5,1/22/19 18:28,,,,
556956,Fenix Radio +5,5/15/19 9:38,,,,
841163,Fenix Power TV 24in FTA BJ,12/21/19 12:12,,,,
678149,Fenix Radio +3,8/26/19 18:17,,,,
599877,Fenix 3,6/13/19 16:05,,,,
628792,Fenix Radio +3,7/9/19 11:22,,,,
507927,Fenix 2,3/21/19 13:42,,,,
912618,"Fenix Power TV 24in FTA Upgrade, BJ",2/18/20 14:13,,,,
731683,"Fenix Power TV 24in FTA Upgrade, BJ",10/7/19 15:53,,,,
789241,Fenix Power 4 + Woofer BJ,11/18/19 14:22,,,,
811190,Fenix Radio +3,12/3/19 15:47,,,,
894364,Fenix Radio +3,2/3/20 14:04,,,,
811079,Fenix Power 4 + Woofer BJ,12/3/19 14:42,,,,
821939,Fenix 2,12/9/19 20:10,,,,
720557,Fenix Radio +3,9/28/19 15:17,,,,
683594,Fenix Radio +3,8/31/19 15:00,,,,
891749,Fenix 3,2/1/20 7:53,,,,
638452,Fenix 3,7/18/19 15:24,,,,
884229,Fenix 2,1/26/20 16:03,,,,
825752,Fenix Radio +3,12/12/19 11:05,,,,
734890,Fenix Radio +3,10/10/19 11:14,,,,
593579,Fenix 3,6/7/19 18:40,,,,
718280,Fenix 3,9/26/19 18:14,,,,
586231,Fenix 2,6/2/19 11:28,,,,
803427,Fenix Power TV 24in FTA BJ,11/28/19 16:32,,,,
800043,Fenix Power TV 24in FTA BJ,11/26/19 12:01,,,,
723935,Fenix Power TV 24in FTA BJ,10/1/19 13:48,,,,
801815,Fenix Power TV 24in FTA BJ,11/27/19 12:31,,,,
768936,Fenix Radio +3,11/6/19 18:00,,,,
666091,Fenix 2,8/14/19 17:40,,,,
638662,Fenix Radio +3,7/18/19 19:00,,,,
728852,Fenix Radio +5,10/5/19 9:13,,,,
765629,Fenix Power TV 24in FTA BJ,11/4/19 16:16,,,,
684848,"Fenix Power TV 24in FTA Upgrade, BJ",9/3/19 13:32,,,,
914279,Fenix 2,2/19/20 19:36,,,,
563357,Fenix Radio +3,5/19/19 17:07,,,,
608488,Fenix Radio +3,6/20/19 11:25,,,,
827665,Fenix Power TV 24in FTA BJ,12/14/19 11:36,,,,
788699,Fenix Radio +3,11/18/19 17:10,,,,
900977,Fenix Power TV 24in FTA BJ,2/8/20 8:38,,,,
487890,Fenix 2,2/24/19 17:41,,,,
813271,Fenix 2,12/4/19 17:01,,,,
552829,Fenix Radio +3,5/12/19 14:50,,,,
550270,Fenix Radio +5,5/10/19 14:40,,,,
865822,Fenix Power TV 24in FTA BJ,1/11/20 11:43,,,,
614906,Fenix 2,6/26/19 12:42,,,,
866166,Fenix Radio +5,1/11/20 15:23,,,,
562305,Fenix Radio +3,5/18/19 17:35,,,,
563946,Fenix 2,5/20/19 10:03,,,,
849382,Fenix 2,12/27/19 8:32,,,,
724607,Fenix Radio +3,10/2/19 7:57,,,,
567294,Fenix 3,5/21/19 16:32,,,,
544657,Fenix Radio +3,5/5/19 12:54,,,,
783286,Fenix Radio +3,11/15/19 13:48,,,,
516509,Fenix 3,3/31/19 16:09,,,,
650964,Fenix Radio +5,7/31/19 11:09,,,,
619588,Fenix 2,7/1/19 9:48,,,,
818033,Fenix 3,12/7/19 13:29,,,,
542216,Fenix 3,5/2/19 12:16,,,,
557999,Fenix Radio +3,5/15/19 16:23,,,,
568692,Fenix Radio +3,5/22/19 13:37,,,,
709256,Fenix Radio +3,9/20/19 9:33,,,,
865731,Fenix Radio +3,1/11/20 10:56,,,,
892619,Fenix Power TV 24in FTA BJ,2/3/20 7:57,,,,
811070,Fenix Radio +5,12/3/19 15:20,,,,
740457,Fenix Radio +3,10/15/19 12:10,,,,
749441,Fenix 3,10/22/19 17:24,,,,
900995,Fenix Radio +3,2/8/20 9:30,,,,
715374,Fenix Radio +3,9/24/19 20:04,,,,
549793,Fenix Radio +3,5/9/19 18:55,,,,
402187,Fenix 2,12/1/18 15:33,,,,
536142,Fenix Radio +3,4/24/19 16:59,,,,
669452,Fenix Power TV 19in FTA BJ,8/18/19 10:51,,,,
539690,Fenix 3,5/4/19 12:06,,,,
515826,Fenix 3,3/30/19 18:41,,,,
514161,Fenix Radio +3,3/29/19 12:10,,,,
787720,Fenix 2,11/17/19 16:27,,,,
487016,Fenix Radio +3,2/22/19 17:05,,,,
623664,Fenix Radio +5,7/4/19 15:22,,,,
785720,Fenix Radio +3,11/16/19 16:24,,,,
603724,Fenix 3,6/24/19 11:41,,,,
436046,Fenix 2,12/29/18 10:41,,,,
780204,Fenix Radio +5,11/14/19 12:35,,,,
555752,Fenix Radio +3,5/14/19 12:51,,,,
838328,Fenix 3,12/20/19 8:37,,,,
761164,Fenix Radio +3,10/31/19 17:00,,,,
551911,Fenix Radio +3,5/11/19 12:45,,,,
515555,Fenix 2,3/30/19 15:29,,,,
745355,"Fenix Power TV 24in FTA Upgrade, BJ",10/19/19 11:57,,,,
608307,Fenix 3,6/20/19 9:23,,,,
573355,Fenix Radio +5,5/24/19 19:14,,,,
797032,Fenix Radio +3,11/23/19 18:52,,,,
844671,Fenix 3,12/23/19 13:14,,,,
625829,Fenix Radio +3,7/6/19 12:28,,,,
789099,Fenix 2,11/18/19 13:31,,,,
836872,Upgrade Fenix Boost 2 + Tondeuse,12/19/19 10:29,,,,
842135,Fenix Radio +3,12/21/19 20:34,,,,
748452,Fenix Power TV 24in FTA BJ,10/22/19 9:40,,,,
844440,Fenix Radio +3,12/23/19 12:18,,,,
621215,Fenix 3,7/2/19 11:04,,,,
809838,Fenix Radio +3,12/2/19 19:38,,,,
649792,"Fenix Power TV 19in FTA Upgrade, BJ",7/29/19 18:06,,,,
399177,Fenix 2,11/29/18 12:02,,,,
852609,Fenix 3,12/29/19 19:22,,,,
834972,Fenix 3,12/18/19 9:44,,,,
824479,Fenix Power TV 24in FTA BJ,12/11/19 14:32,,,,
733799,Fenix Radio +3,10/9/19 12:27,,,,
552190,Fenix Radio +5,5/11/19 15:13,,,,
551045,Fenix Radio +3,5/10/19 18:49,,,,
739579,"Fenix Power TV 24in FTA Upgrade, BJ",10/14/19 15:17,,,,
720385,Fenix Radio +5,9/28/19 12:05,,,,
422455,Fenix Radio +3,12/17/18 19:37,,,,
811757,Fenix Power 4 + Woofer BJ,12/4/19 8:15,,,,
731539,Fenix Radio +5,10/7/19 14:52,,,,
730256,Fenix Radio +3,10/6/19 12:44,,,,
566609,Fenix 3,5/21/19 13:04,,,,
900799,Fenix Radio +3,2/7/20 19:54,,,,
497018,Fenix Radio +5,3/7/19 19:33,,,,
890843,Fenix Radio +3,1/31/20 15:47,,,,
789865,Fenix 2,11/18/19 18:36,,,,
699834,Fenix 3,9/12/19 16:51,,,,
823247,Fenix 2,12/10/19 15:27,,,,
827393,Fenix Power TV 24in FTA BJ,12/13/19 10:13,,,,
548177,Fenix 3,5/8/19 15:04,,,,
442354,Fenix Woofer +3,1/5/19 17:56,,,,
557893,Fenix 2,5/15/19 15:35,,,,
514763,Fenix Radio +5,3/29/19 19:22,,,,
548360,Fenix Radio +3,5/8/19 17:31,,,,
821310,Fenix 2,12/10/19 15:16,,,,
899354,Fenix Radio +3,2/7/20 14:23,,,,
847623,Fenix 3,12/24/19 20:10,,,,
819944,Fenix Radio +5,12/9/19 7:35,,,,
716472,Fenix Radio +3,9/25/19 14:32,,,,
761876,Fenix Radio +3,11/1/19 12:54,,,,
684599,Fenix 2,9/2/19 7:03,,,,
697027,Fenix Radio +3,9/10/19 17:33,,,,
548271,Fenix Radio +3,5/8/19 18:32,,,,
675077,Fenix Radio +3,8/23/19 13:48,,,,
763479,"Fenix Power TV 24in FTA Upgrade, BJ",11/2/19 15:57,,,,
639748,"Fenix Power TV 19in FTA Upgrade, BJ",7/19/19 18:00,,,,
560034,Fenix 2,5/17/19 8:29,,,,
761512,Fenix Radio +3,11/1/19 15:46,,,,
900633,Fenix 2,2/7/20 16:23,,,,
859196,Fenix Radio +3,1/4/20 18:41,,,,
632838,Fenix 3,7/12/19 15:25,,,,
894325,Fenix 2,2/3/20 15:30,,,,
609367,Fenix 3,6/21/19 8:17,,,,
758074,Fenix Power TV 24in FTA BJ,10/29/19 17:17,,,,
699509,Fenix 3,9/12/19 17:04,,,,
879097,Fenix Radio +3,1/22/20 13:54,,,,
438933,Fenix Radio +3,1/3/19 16:02,,,,
861312,Fenix Power TV 24in FTA BJ,1/7/20 11:20,,,,
603177,Fenix 3,6/15/19 12:17,,,,
748840,Fenix Radio +3,10/22/19 12:38,,,,
735398,Fenix Radio +3,10/10/19 15:03,,,,
549134,Fenix Radio +3,5/9/19 12:14,,,,
836892,"Fenix Power TV 24in FTA Upgrade, BJ",12/19/19 10:38,,,,
578739,Fenix 3,5/28/19 11:40,,,,
562425,Fenix 2,5/18/19 17:24,,,,
615488,Fenix Radio +3,6/26/19 15:45,,,,
809822,Fenix 3,12/2/19 19:40,,,,
611653,Fenix 2,6/23/19 13:41,,,,
906809,Fenix Power TV 24in FTA BJ,2/13/20 7:34,,,,
687511,Fenix 3,9/3/19 17:34,,,,
860520,Hors Garantie BJ,1/6/20 14:09,,,,
691467,Fenix 3,9/6/19 12:30,,,,
904271,Fenix Radio +3,2/11/20 9:30,,,,
825516,Fenix Radio +3,12/12/19 8:05,,,,
815184,Fenix Power 4 + Woofer BJ,12/5/19 19:14,,,,
514677,Fenix Radio +5,3/29/19 18:28,,,,
712480,"Fenix Power TV 24in FTA Upgrade, BJ",9/23/19 9:50,,,,
503193,Fenix Radio +5,3/15/19 11:34,,,,
552172,Fenix Radio +3,5/11/19 14:55,,,,
480183,Fenix Radio +3,2/13/19 10:50,,,,
891788,Fenix Power TV 24in FTA BJ,2/1/20 9:56,,,,
795356,Fenix Power TV 24in FTA BJ,11/22/19 12:24,,,,
793182,Fenix Radio +3,11/20/19 19:20,,,,
642939,Fenix 3,7/23/19 16:57,,,,
715141,Fenix Radio +3,9/25/19 14:18,,,,
802386,Fenix 2,11/27/19 16:04,,,,
686933,Fenix 2,9/3/19 13:35,,,,
710696,Fenix Radio +3,11/10/19 16:35,,,,
561338,Fenix 3,5/17/19 17:57,,,,
506411,Fenix 3,3/19/19 14:28,,,,
821613,Fenix 3,12/9/19 17:23,,,,
815114,Fenix Radio +3,12/5/19 18:08,,,,
743817,"Fenix Power TV 24in FTA Upgrade, BJ",10/18/19 9:39,,,,
486126,Fenix 2,2/22/19 8:45,,,,
519591,Fenix Radio +3,4/3/19 18:43,,,,
893889,Fenix Power TV 24in FTA BJ,2/3/20 11:01,,,,
552605,Fenix Radio +3,5/11/19 20:05,,,,
565940,Fenix 2,5/21/19 9:08,,,,
840832,Fenix Radio +5,12/21/19 10:17,,,,
534912,Fenix Woofer +3,4/23/19 12:30,,,,
507091,Fenix Radio +3,3/20/19 17:16,,,,
909319,Fenix 2,2/21/20 8:18,,,,
682950,Fenix 3,8/31/19 9:26,,,,
765615,Fenix 3,11/4/19 15:10,,,,
593528,Fenix 3,6/7/19 16:41,,,,
669340,Fenix Radio +3,8/17/19 19:52,,,,
817303,Fenix 2,12/7/19 8:36,,,,
849190,Fenix Radio +3,12/27/19 8:37,,,,
884087,Fenix Radio +3,1/28/20 7:34,,,,
847553,Fenix 3,12/24/19 18:22,,,,
561331,Fenix 3,5/17/19 17:59,,,,
594858,Fenix 3,6/8/19 18:02,,,,
520182,Fenix Radio +3,4/4/19 14:25,,,,
529724,Fenix Radio +3,4/16/19 12:15,,,,
723218,Fenix 3,9/30/19 18:03,,,,
662497,Fenix Radio +3,8/12/19 8:44,,,,
846636,Fenix 3,12/24/19 11:37,,,,
864291,Fenix Power TV 24in FTA BJ,1/9/20 16:02,,,,
777280,Fenix 2,11/12/19 17:17,,,,
725510,"Fenix Power TV 24in FTA Upgrade, BJ",10/2/19 14:22,,,,
624423,Fenix 2,7/4/19 20:03,,,,
812723,Fenix Radio +3,12/4/19 13:52,,,,
556703,Fenix 3,5/15/19 7:40,,,,
695206,Fenix Radio +5,9/9/19 14:55,,,,
854535,Fenix Power TV 24in FTA BJ,12/31/19 11:29,,,,
685742,Fenix Radio +3,9/3/19 13:00,,,,
813795,Fenix Radio +3,12/5/19 9:48,,,,
885199,Fenix Power TV 24in FTA BJ,1/27/20 12:33,,,,
521753,Fenix Radio +3,4/6/19 14:05,,,,
551820,Fenix Radio +3,5/11/19 12:47,,,,
904997,Fenix 2,2/11/20 15:47,,,,
918741,Fenix Radio +3,2/24/20 13:19,,,,
748570,Fenix Power TV 24in FTA BJ,10/22/19 10:50,,,,
616420,Fenix Radio +3,6/27/19 14:13,,,,
917820,Fenix Power TV 24in FTA BJ,2/23/20 9:16,,,,
526670,Fenix 2,4/11/19 19:49,,,,
552881,Fenix Radio +3,5/12/19 11:21,,,,
785865,Fenix Radio +3,11/16/19 18:25,,,,
601248,Fenix 3,6/13/19 15:28,,,,
639779,Fenix Radio +3,7/20/19 9:56,,,,
549858,Fenix 2,5/9/19 19:59,,,,
552165,Fenix Radio +3,5/11/19 15:41,,,,
703672,Fenix Radio +3,9/15/19 17:41,,,,
835624,Fenix Power TV 24in FTA BJ,12/18/19 13:18,,,,
860425,Fenix Power TV 24in FTA BJ,1/6/20 16:25,,,,
562481,Fenix 3,5/18/19 16:38,,,,
856097,Fenix Radio +3,1/1/20 12:02,,,,
447163,Fenix 2,1/10/19 14:48,,,,
432089,Fenix 2,12/24/18 13:32,,,,
617649,Fenix Radio +5,6/29/19 7:28,,,,
573882,Fenix 2,5/24/19 19:44,,,,
817623,Fenix Radio +3,12/7/19 10:39,,,,
655723,Fenix Radio +3,8/5/19 12:05,,,,
897715,Fenix Radio +3,2/5/20 16:45,,,,
463027,Fenix Radio +3,1/26/19 14:50,,,,
571064,Fenix 3,5/23/19 14:27,,,,
707114,Fenix Power TV 24in FTA BJ,9/19/19 13:18,,,,
421475,Fenix 2,12/17/18 11:30,,,,
568710,Fenix 3,5/22/19 13:27,,,,
552938,Fenix Radio +3,5/12/19 12:15,,,,
849162,Fenix Power TV 24in FTA BJ,12/26/19 19:14,,,,
912419,Fenix Power TV 24in FTA BJ,2/18/20 12:13,,,,
585946,Fenix 3,6/1/19 17:30,,,,
511967,Fenix 3,3/27/19 10:55,,,,
557840,Fenix Radio +5,5/15/19 15:09,,,,
711282,Fenix Radio +3,9/21/19 19:07,,,,
750581,Fenix 2,10/23/19 15:04,,,,
530266,Fenix Radio +3,4/17/19 12:42,,,,
874171,Fenix Radio +3,1/20/20 16:10,,,,
662095,Fenix Radio +3,8/10/19 18:01,,,,
840739,Fenix Radio +3,12/21/19 9:49,,,,
499078,Fenix 3,3/10/19 13:54,,,,
696939,Fenix Woofer +3 (NEW),9/10/19 17:16,,,,
795644,Fenix Radio +3,11/22/19 15:05,,,,
856972,Fenix Radio +3,1/2/20 15:37,,,,
710436,Fenix Radio +3,9/21/19 9:21,,,,
699598,Fenix 3,9/12/19 14:45,,,,
585565,Fenix 3,6/1/19 17:26,,,,
652655,Fenix Radio +3,8/1/19 14:57,,,,
795881,Fenix Radio +3,11/22/19 16:09,,,,
477280,Fenix 2,2/9/19 16:47,,,,
552696,Fenix 3,5/12/19 12:40,,,,
763327,Fenix Radio +3,11/2/19 17:16,,,,
571465,Fenix 2,5/23/19 17:26,,,,
909963,Fenix Power TV 24in FTA BJ,2/15/20 17:36,,,,
736170,Fenix Radio +3,10/11/19 10:40,,,,
726303,Fenix 3,10/3/19 10:43,,,,
643326,Fenix 3,7/23/19 13:23,,,,
849080,Fenix 3,12/26/19 18:08,,,,
882423,Fenix Radio +3,1/25/20 7:41,,,,
669482,"Fenix Power TV 19in FTA Upgrade, BJ",8/21/19 16:40,,,,
676426,Fenix Radio +3,8/24/19 18:48,,,,
485174,Fenix Radio +3,2/20/19 10:40,,,,
856234,Fenix 2,1/1/20 18:19,,,,
803478,Fenix Power TV 24in FTA BJ,11/28/19 13:01,,,,
548310,Fenix 3,5/8/19 16:14,,,,
640630,Fenix 3,7/20/19 20:18,,,,
715278,Fenix Power TV 24in FTA BJ,9/24/19 17:24,,,,
813401,Fenix Power TV 24in FTA BJ,12/4/19 20:03,,,,
677765,Fenix Radio +3,8/26/19 14:26,,,,
911118,Fenix Radio +3,2/17/20 11:58,,,,
657631,Fenix Radio +3,8/6/19 19:24,,,,
693026,Fenix 3,9/7/19 14:51,,,,
736968,Fenix Radio +3,10/11/19 17:43,,,,
654453,Fenix Woofer +3 (NEW),8/3/19 19:00,,,,
785148,Fenix Radio +3,11/16/19 12:49,,,,
568349,Fenix 2,5/22/19 14:48,,,,
568480,Fenix Radio +3,5/22/19 12:40,,,,
848167,Fenix 2,12/25/19 18:53,,,,
807148,Fenix Radio +3,11/30/19 14:45,,,,
630004,Fenix 3,7/10/19 11:54,,,,
542630,Fenix 2,5/3/19 7:30,,,,
875689,Fenix 3,1/20/20 13:58,,,,
449353,Fenix Radio +3,1/12/19 19:54,,,,
676399,Fenix Radio +3,8/24/19 17:41,,,,
848981,Fenix Power TV 24in FTA BJ,12/26/19 18:05,,,,
534268,Fenix Radio +3,4/22/19 14:15,,,,
450975,Fenix Radio +5,1/17/19 15:35,,,,
492418,Fenix 3,3/3/19 11:16,,,,
855757,Fenix Radio +5,12/31/19 17:33,,,,
851077,Fenix Radio +5,12/28/19 11:34,,,,
567207,Fenix 3,5/22/19 13:52,,,,
550294,Fenix Radio +3,5/10/19 11:53,,,,
565320,Fenix Radio +5,5/20/19 18:55,,,,
909478,Upgrade Fenix Woofer+2 BJ,2/15/20 12:48,,,,
475110,Fenix Radio +3,2/7/19 16:04,,,,
647138,Fenix Radio +5,7/26/19 17:36,,,,
737257,"Fenix Power TV 24in FTA Upgrade, BJ",10/12/19 17:44,,,,
847882,Fenix 3,12/25/19 11:08,,,,
490763,Fenix Radio +3,3/1/19 8:05,,,,
395900,Fenix 2,11/26/18 16:51,,,,
572498,Fenix 3,5/25/19 18:03,,,,
761304,Fenix Power TV 24in FTA BJ,10/31/19 20:27,,,,
626526,Fenix Radio +3,7/6/19 19:04,,,,
695159,Fenix 3,9/11/19 13:11,,,,
801544,Fenix Radio +3,11/27/19 11:16,,,,
811343,Fenix Radio +5,12/3/19 17:27,,,,
688975,Fenix Radio +3,9/4/19 17:47,,,,
488243,Fenix 2,2/25/19 13:08,,,,
798001,Fenix Power TV 24in FTA BJ,11/25/19 8:23,,,,
597017,Fenix 3,6/10/19 16:47,,,,
723269,Fenix Radio +3,9/30/19 19:11,,,,
898439,Fenix 2,2/6/20 11:34,,,,
532498,Fenix Radio +3,4/19/19 12:41,,,,
657521,Fenix Radio +3,8/6/19 17:10,,,,
910450,Fenix Power TV 24in FTA BJ,2/17/20 11:20,,,,
730648,Fenix 3,10/7/19 7:00,,,,
806991,Fenix 2,11/30/19 13:40,,,,
653300,Fenix Woofer +3 (NEW),8/3/19 18:36,,,,
515860,Fenix Woofer +3,4/2/19 17:51,,,,
809846,Fenix Radio +3,12/2/19 20:00,,,,
569097,Fenix 3,5/22/19 15:52,,,,
776601,Fenix 2,11/12/19 12:52,,,,
584854,Fenix 3,5/31/19 17:07,,,,
521101,Fenix 3,4/5/19 12:54,,,,
813686,Fenix Radio +3,12/5/19 9:22,,,,
757643,Fenix 3,10/29/19 13:48,,,,
758550,"Fenix Power TV 24in FTA Upgrade, BJ",10/30/19 11:44,,,,
777877,Fenix Radio +3,11/13/19 9:55,,,,
560575,Fenix Radio +3,5/17/19 12:26,,,,
789218,Fenix Radio +3,11/18/19 14:20,,,,
696974,Fenix Radio +5,9/10/19 17:13,,,,
557570,Fenix Radio +3,5/15/19 19:01,,,,
744758,Fenix Radio +3,10/18/19 18:46,,,,
413088,Fenix 2,12/10/18 15:36,,,,
531461,Fenix Radio +3,4/18/19 15:42,,,,
710181,Fenix Radio +3,9/20/19 18:04,,,,
833750,Fenix Power TV 24in FTA BJ,12/17/19 12:50,,,,
487054,Fenix Radio +3,2/22/19 18:39,,,,
816176,Fenix Radio +3,12/6/19 12:55,,,,
458767,Fenix Radio +5,1/23/19 9:09,,,,
570109,Fenix 2,5/23/19 11:51,,,,
689687,Fenix Power TV 24in FTA BJ,9/5/19 12:22,,,,
800830,Fenix Radio +5,11/26/19 17:51,,,,
712574,Fenix 2,9/23/19 9:55,,,,
515626,Fenix 2,3/30/19 19:09,,,,
815985,Fenix 3,12/6/19 12:10,,,,
569251,Fenix 3,5/23/19 10:15,,,,
823738,Fenix Radio +3,12/10/19 20:04,,,,
916359,Fenix 3,2/21/20 14:39,,,,
790189,Fenix Power TV 24in FTA BJ,11/19/19 7:52,,,,
570262,Fenix 3,5/23/19 12:20,,,,
472464,Fenix Radio +3,2/5/19 17:29,,,,
563358,Fenix 2,5/24/19 7:16,,,,
812048,Fenix Radio +3,12/4/19 10:01,,,,
402057,Fenix 2,12/1/18 15:15,,,,
556449,Fenix Radio +3,5/14/19 18:20,,,,
527979,Fenix Radio +3,4/13/19 15:44,,,,
405592,Fenix Radio +3,12/4/18 16:46,,,,
813319,Fenix Radio +3,12/4/19 17:40,,,,
695077,Fenix Radio +3,9/9/19 14:16,,,,
615433,Fenix 3,6/26/19 15:11,,,,
681207,Fenix Radio +3,8/30/19 16:33,,,,
535018,Fenix 2,4/23/19 13:55,,,,
912210,Fenix Power TV 24in FTA BJ,2/18/20 10:35,,,,
548974,Fenix 3,5/9/19 11:15,,,,
908138,Fenix Power TV 24in FTA BJ,2/14/20 7:39,,,,
