loan_id,customer_id,daily_rate,days_elapsed,days_til_lockout,total_paid
666091,1515634,140,195,-21,22440
638662,1453327,175,222,-50,26400
728852,1642674,250,143,7,34381
765629,1725465,500,113,-5,24500
684848,970354,360,175,48,19387
914279,1733193,220,6,10,2000
563357,1311143,175,282,8,44200
608488,1385655,300,250,13,77000
827665,1861447,500,73,3,34500
788699,1775384,165,99,-92,0
900977,2005043,500,17,2,4500
487890,1127426,140,366,6,49000
813271,1829662,130,83,1,9120
552829,1291831,175,289,-39,19115
550270,1286367,475,291,3,107000
865822,1944053,500,45,6,21500
614906,1352317,140,244,-82,17640
866166,1944804,250,45,22,15000
562305,1309056,175,200,-193,0
563946,1311837,240,281,0,60160
849382,961357,130,60,1,8000
724607,1633045,175,146,-11,19300
567294,1316689,160,280,35,44800
544657,1273232,300,296,0,74200
783286,1764227,165,102,3,14400
516509,1208925,160,281,-120,20250
650964,1481527,475,208,26,150852
619588,1410015,140,239,4,17900
818033,1840344,150,80,2,11500
542216,1267562,160,299,2,48000
557999,1067583,175,286,-1,32125
568692,1318796,300,273,-98,8500
709256,1603050,175,158,-3,19000
865731,1943809,165,45,23,10100
892619,1991193,500,22,5,10000
811070,1824865,250,84,-20,8550
740457,1669050,165,133,0,21500
749441,1315865,150,126,2,16800
900995,2005081,165,17,1,1980
715374,1614275,175,154,8,26250
549793,1285213,175,292,1,25060
402187,962237,240,451,-133,48440
536142,1253728,175,307,-48,41225
669452,1523209,480,191,-82,30000
539690,1261820,160,297,-28,36299
515826,1207443,160,332,3,50700
514161,1127462,175,333,1,50000
787720,1773243,130,100,5,14000
487016,1141881,175,368,3,66400
623664,1419230,475,179,128,140750
785720,1769599,165,101,2,15965
603724,1376189,160,246,6,39450
436046,1042099,140,423,2,55400
780204,1732092,250,103,0,20250
555752,1297538,175,287,-12,14523
838328,1884368,150,67,6,10000
761164,1715424,165,117,5,19000
551911,1289969,175,290,9,53000
515555,1079545,240,332,2,54680
745355,1399967,360,129,2,44580
608307,1385279,160,250,60,44000
573355,1325854,275,277,7,77800
797032,1794047,165,94,0,14245
844671,1898068,150,64,12,10000
625829,1424026,300,234,18,55500
789099,1776261,220,72,133,70615
836872,1202479,115,68,-1,4162
842135,1892663,165,66,9,11000
748452,1686895,500,126,2,60500
844440,1897619,165,64,3,8496
621215,1413739,160,238,-4,26300
809838,1822122,165,85,4,13675
649792,1244025,330,211,-9,63404
399177,954873,140,370,-284,8000
852609,1915685,150,58,-10,5000
834972,1877167,150,69,11,10550
824479,1854441,500,76,2,35500
733799,1653919,175,139,27,22500
552190,1290584,475,290,-4,67950
551045,1288200,300,291,-37,47700
739579,1127016,360,134,0,45541
720385,1623648,250,150,26,40000
422455,1010602,175,435,-30,20725
811757,1826336,280,83,0,16040
731539,1648703,430,141,26,67925
730256,1645903,175,142,2,20177
566609,1315490,160,280,8,47100
900799,2004716,165,18,7,3000
497018,1164069,475,306,-119,62500
890843,1987913,165,25,3,3500
789865,1295619,130,99,1,11960
699834,1584500,270,166,19,48000
823247,1851758,130,77,3,10100
827393,1860782,500,74,3,27000
548177,1281340,160,293,1,43000
442354,1057644,500,387,6,158388
557893,1301246,140,203,-120,10100
514763,1204841,275,333,4,91700
548360,1281785,175,293,2,42575
821310,1847557,130,77,3,7700
899354,2002215,165,18,-5,1000
847623,1904504,150,63,-6,6000
819944,1844599,250,78,-1,13500
716472,1563775,175,153,21,21250
761876,1716997,165,116,-11,16050
684599,1556615,240,176,5,30900
697027,1579618,175,168,7,30645
548271,1281586,175,293,-38,28900
675077,1535771,300,186,-18,43200
763479,1237988,360,16,182,212000
639748,1382799,330,221,82,86609
560034,1304808,140,284,2,40300
761512,1716227,165,116,7,19310
900633,2004378,130,18,4,2000
859196,1929779,165,52,4,8250
632838,1440055,270,179,0,79290
894325,1993751,220,22,1,3550
609367,1387476,270,249,0,65200
758074,1708500,500,119,7,58000
699509,1321629,160,166,-84,6500
879097,1968739,165,34,9,6175
438933,1049515,175,418,7,68250
861312,1934241,500,49,31,35000
603177,1374978,160,255,2,38300
748840,1687772,165,126,7,16000
735398,1657574,280,138,15,40000
549134,1283607,300,292,7,86500
836892,1561520,360,68,1,18179
578739,1333219,270,269,23,84715
562425,1309311,140,283,42,45860
615488,1374048,300,61,247,82714
809822,1822087,250,85,1,19000
611653,1392377,140,247,1,32382
906809,2015502,950,12,11,10000
687511,1562077,160,175,8,30860
860520,1455199,1,0,19,0
691467,1569442,160,172,-7,21150
904271,2010796,165,14,5,2000
825516,1856677,165,75,1,10950
815184,1833967,280,82,1,18875
514677,1204619,275,333,0,80725
712480,1287987,360,155,-64,17555
503193,1178059,275,102,-49,12250
552172,1290571,300,290,3,82900
480183,1130596,175,377,2,57100
891788,1989577,950,24,82,90000
795356,1790276,500,95,22,55000
793182,1785422,165,97,6,15000
642939,1463001,160,217,5,30500
715141,1613800,175,153,0,24650
802386,1805868,130,90,4,10600
686933,1560851,240,175,1,40850
710696,1606104,175,2,26,0
561338,1216263,160,277,-164,13750
506411,1185391,270,313,-77,12800
821613,1492599,150,78,8,12100
815114,1833829,165,82,0,6000
743817,1236117,360,130,-4,23487
486126,1140283,240,290,16,83825
519591,1215509,175,328,9,53450
893889,1993099,500,22,3,9000
552605,1291444,300,290,-2,19000
565940,1314489,140,280,-101,19400
840832,1889742,250,66,4,15000
534912,1250833,295,308,-28,42000
507091,1186922,175,342,11,57440
909319,1839299,130,4,3,0
682950,1553643,160,178,5,23100
765615,1722223,150,113,-81,2950
593528,1357423,160,263,84,50000
669340,1522970,175,192,20,30300
817303,1838679,130,80,-5,10000
849190,1908049,165,60,1,9450
884087,1977288,165,28,3,4000
847553,1904262,250,63,11,16000
561331,1307161,160,284,-13,29200
594858,1359932,270,179,-169,1000
520182,1216812,300,327,15,88200
529724,1238607,300,291,49,95727
723218,1629848,160,148,0,20140
662497,1507708,175,197,-10,25500
846636,1902279,150,63,7,9900
864291,1940749,500,47,19,29500
777280,1751208,130,105,0,10620
725510,1303030,360,146,1,38631
624423,1420918,140,236,5,28300
812723,1828454,165,83,19,15800
556703,1299317,270,286,20,83300
695206,1576428,275,169,8,48400
854535,1919867,500,56,1,21000
685742,1558683,175,175,11,31650
813795,1830852,280,82,3,22400
885199,1978914,500,29,20,21000
521753,1220315,175,214,-142,1503
551820,1265756,300,290,-1,55100
904997,2012165,130,14,2,1550
918741,2041748,165,1,13,1200
748570,1687145,500,126,8,59800
616420,1402699,175,243,5,36450
917820,2039689,500,2,5,0
526670,1231612,140,320,-5,43205
552881,1291940,175,289,-97,8650
785865,1769862,165,101,-27,10000
601248,1371249,270,257,-49,46000
639779,1455684,300,140,34,87545
549858,1285383,140,292,11,26000
552165,1290547,175,290,-3,23100
703672,1591672,175,163,-1,24750
835624,1878571,500,69,10,34500
860425,1932379,500,50,47,45000
562481,1309466,160,283,-29,26000
856097,1923234,165,55,0,9275
447163,1068855,140,411,1,52500
432089,1033582,140,428,-6,56599
617649,1405458,275,241,19,70278
573882,1326821,140,277,48,38500
817623,1839433,165,80,9,13000
655723,1492376,300,204,0,63700
897715,1999276,280,20,21,10000
463027,1100656,300,339,75,17100
571064,1322353,270,195,-122,14770
707114,1598593,500,159,1,28500
421475,1008136,240,338,1,84960
568710,1318808,160,279,1,30160
552938,1292094,175,289,46,51150
849162,1907977,500,61,0,19500
912419,2027477,500,7,13,5000
585946,1344650,160,269,9,36850
511967,1198258,160,335,-3,32170
557840,1301186,275,286,26,78700
711282,1607292,175,157,6,27200
750581,1691675,130,125,10,18000
530266,1239877,175,314,-36,11325
874171,1962076,165,36,2,5000
662095,1506782,175,199,16,34500
840739,1010662,165,66,0,8600
499078,1156468,160,352,11,51600
696939,1234267,500,168,0,66000
795644,1790895,165,95,0,12580
856972,1925112,165,54,7,9000
710436,1402611,175,157,-2,25100
699598,1584053,160,166,2,23300
585565,1343848,160,269,-55,10600
652655,1485350,175,208,-71,12500
795881,1791461,165,95,1,14600
477280,1125894,240,381,5,77000
552696,1291581,160,289,0,39253
763327,1720359,165,115,2,18340
571465,1323074,140,278,11,38800
909963,2022063,500,10,57,30000
736170,1659289,165,137,-31,16300
726303,1636893,160,145,4,22890
643326,1463907,160,217,11,36000
849080,1907778,150,61,6,9000
882423,1974290,165,31,4,4800
669482,1254079,330,188,2,44111
676426,1538861,300,185,-11,26550
485174,1138656,175,287,-268,2000
856234,1923530,220,55,0,11700
803478,1808130,500,89,18,50000
548310,1281671,270,293,-54,37300
640630,1457825,160,220,8,36000
715278,1614057,500,154,36,90000
813401,1829991,500,83,0,34500
677765,1541906,175,183,15,31675
911118,2024605,165,8,-1,0
657631,1496707,175,203,-35,22395
693026,1572678,160,171,2,27600
736968,1661096,165,137,0,16975
654453,1489484,295,206,4,55285
785148,1768326,280,101,0,23800
568349,1318154,140,279,25,42800
568480,1318397,175,279,-3,43485
848167,1905725,130,62,7,8700
807148,1816281,165,87,-15,6000
630004,1433588,160,230,0,29480
542630,1268476,140,298,-55,26560
875689,1963728,150,36,11,6000
449353,970155,300,409,-57,49000
676399,1534001,300,185,-23,43000
848981,1907551,500,61,0,15000
534268,1249370,175,309,0,45200
450975,1077868,275,321,-229,1500
492418,1153823,160,359,-9,40800
855757,1922528,250,56,19,17100
851077,1912340,250,59,2,13500
567207,1316497,160,196,-145,6850
550294,1286468,175,291,1,48019
565320,1313876,275,281,2,67000
909478,1216799,240,10,89,24063
475110,1121483,175,383,81,78000
647138,1472774,275,214,25,57750
737257,1402497,360,136,47,23712
847882,1905094,150,62,5,9000
490763,1150154,300,361,2,107000
395900,947304,140,456,51,69000
572498,1324580,160,276,47,47500
761304,1715779,500,117,0,54500
626526,1425659,300,234,28,44300
695159,1576323,270,167,-41,9850
801544,1803926,165,90,5,12300
811343,1825429,250,84,51,32000
688975,1564792,175,174,1,30550
488243,1144529,140,365,2,49100
798001,1796184,500,92,12,45000
597017,1363508,270,260,2,77700
723269,1562190,175,148,6,26000
898439,2000416,220,19,8,4000
532498,1245179,175,312,0,47645
657521,1300375,175,203,3,39000
910450,2023157,500,8,7,2500
730648,1646803,270,141,9,36540
806991,1815880,220,87,5,15000
653300,1486818,295,206,0,44000
515860,1207520,295,329,16,101850
809846,1822134,165,85,1,12000
569097,1319498,160,279,266,85640
776601,1749711,220,105,4,23000
584854,1342596,160,270,5,32687
521101,1218858,160,257,-125,6350
813686,1132234,165,82,15,15000
757643,1707475,150,119,5,18500
758550,1215019,360,118,5,39600
777877,1752528,165,104,6,16700
560575,1305620,175,284,-3,25550
789218,1775159,165,99,8,17800
696974,1579534,275,168,3,43500
557570,1300646,175,286,-1,27075
744758,1678642,165,130,26,24200
413088,988318,240,442,-70,40700
531461,1242729,175,313,52,63300
710181,1605008,175,158,24,30500
833750,1874447,500,70,17,40000
487054,1141974,175,305,-12,25445
816176,1836121,165,81,0,11000
458767,1093232,275,315,-262,7000
570109,1320934,140,278,0,34100
689687,1566031,500,173,2,84000
800830,1802412,430,91,-84,0
712574,1609413,240,155,6,26740
515626,1206945,140,332,14,43180
815985,1835713,150,81,1,11150
569251,1319733,270,244,-98,25930
823738,1852875,165,77,4,12000
916359,2036402,150,4,23,3000
790189,1778767,500,98,14,52500
570262,1321101,270,238,4,87728
472464,1116428,300,350,0,107100
563358,1311147,140,198,-119,8400
812048,1826942,165,83,4,12200
402057,961861,140,451,1,66000
556449,1298919,300,287,0,81300
527979,1234643,300,242,-73,21400
405592,970293,175,448,23,67750
813319,1829796,165,83,8,14000
695077,1576183,175,169,5,28950
615433,1400663,270,244,7,53760
681207,1549634,300,159,-121,14500
535018,1251082,240,308,1,69400
912210,2026986,500,7,20,10000
548974,1283268,160,292,7,48300
908138,2017931,500,11,-4,0
862493,1936778,150,48,82,18500
492554,1154174,270,359,-1,91200
696064,1246971,360,168,-64,13017
780138,1757436,250,103,1,20500
574655,1328053,270,276,5,74200
749108,1688402,130,45,-8,66180
517702,1211348,270,330,6,82450
556172,1298365,175,287,2,43950
648186,1475204,160,213,3,25500
557249,1300184,175,286,0,47250
673887,1532947,175,187,-1,23845
656681,1494545,275,203,5,57600
512161,1198688,270,271,-120,32000
767845,1730302,500,111,1,36500
904037,2010454,165,14,9,3000
815221,1834051,165,81,-1,10150
570410,1321289,275,278,2,48500
533855,1248416,175,310,0,48312
771776,1739015,500,108,39,64000
723169,1629730,500,148,7,47000
633417,1441339,270,227,0,48060
656643,1494318,140,203,1,26795
604525,1377605,175,170,-163,0
759696,1712133,165,118,10,20200
914229,2008711,130,6,9,1000
887486,1982540,165,28,9,5000
737387,1662064,950,136,98,220000
816625,1837111,250,81,6,19600
567263,1316627,270,280,-54,49850
793052,1418521,500,97,58,2000
709195,1602889,175,158,13,28300
766681,1727788,500,112,0,51300
438452,1048419,240,363,0,81991
515765,1201955,270,273,2,68642
911156,2024626,500,8,13,7000
851575,1913404,130,59,77,17700
516134,1208092,140,102,-13,7000
617656,1405494,175,242,4,37300
781516,1760452,500,30,20,280000
678963,1544583,300,182,12,50800
745347,1679941,150,129,1,18500
709419,1603384,300,158,-18,36000
871482,1956226,130,40,-1,4500
548268,1281472,475,293,8,141400
818699,1841833,165,80,2,11500
900008,2003266,130,18,0,1500
822423,1850004,150,77,41,16800
848516,1906287,150,61,42,14500
587914,1348209,475,267,1,116500
648016,1052481,330,213,3,38190
477241,1125770,175,381,6,52250
513428,1201713,140,334,-3,30760
909941,2022022,950,10,28,30000
802511,1806124,165,90,8,15300
640757,1458102,140,219,28,29400
838638,1885007,220,67,25,17200
556039,1298061,175,287,-63,25500
888297,1983678,500,27,2,11000
667464,1518603,175,193,1,31000
696216,1578164,300,168,9,49900
541427,1265758,300,300,0,74663
794530,1788432,480,0,7,125000
558967,1303006,175,285,0,50594
637865,1451505,270,222,7,59200
720471,1623903,500,150,10,75000
577785,1332067,270,229,-118,22000
745972,1681335,250,128,27,37000
688834,1564492,500,174,-2,64000
438192,1047787,300,328,5,103664
821481,1847962,130,78,7,8610
562738,1309987,160,283,1,36740
907579,2016802,500,12,10,7500
683531,1554887,240,178,-50,17400
705396,1595065,275,161,0,41000
809035,1820325,500,84,13,45000
871798,1956874,165,39,4,2500
481985,1133315,275,375,0,94925
667577,1518878,160,193,-33,17095
847573,1904398,500,63,2,29000
481225,1132155,175,376,10,63050
820518,1845854,220,78,-1,13600
886252,1980569,165,28,43,10700
772365,1740326,500,108,3,51500
546413,1277273,140,294,0,35462
679279,1545311,160,182,10,24100
807209,1816381,165,87,5,14000
573968,1327034,175,257,-45,9400
433122,1035957,175,426,3,76275
463553,1101595,175,392,11,63650
758232,1708868,130,118,17,17000
809109,1820431,280,59,149,87596
582449,1336864,160,271,-3,32500
512623,1199818,175,334,-1,40625
784623,1767117,150,100,3,14400
916610,2037011,500,4,3,0
811592,1826033,280,83,6,20500
614938,1399461,175,244,10,42950
813645,1830559,130,82,7,11800
626965,1426705,140,233,19,32400
752482,1695863,500,123,1,51500
882712,1974756,500,31,0,7500
907194,2016117,500,11,5,4500
615190,1400059,160,244,-5,31000
520362,1217275,175,327,4,54005
839215,1886306,500,67,1,30500
733819,1284199,360,138,-9,31438
789396,1776928,165,99,1,18200
549351,1284122,300,292,2,83800
721106,1625317,175,140,-67,4775
820116,1844950,165,78,0,12000
702162,1588789,500,164,21,81500
601439,1371675,270,257,11,70000
846405,1901778,165,63,25,11950
774630,1745383,250,106,-6,20500
654493,1489589,240,205,3,21050
898590,2000669,500,19,5,8500
766093,1726524,165,112,23,20000
761622,1716454,500,116,4,55000
757840,1707919,165,119,1,15800
852329,1914113,165,58,2,8000
509011,1191346,140,260,-119,14940
701839,1588132,140,164,1,20570
751978,1694750,165,124,-19,12300
661714,1505896,475,199,0,92350
485983,1140028,300,369,-18,61200
693160,1325634,360,171,-7,44290
867415,1947603,430,11,236,115000
559059,1303145,140,285,5,40500
818805,1842065,500,80,-9,31000
634372,1443577,140,226,-9,22800
668634,1521252,175,192,8,31250
764624,1723207,165,113,-1,14695
821336,1847596,130,78,2,9900
577879,1332225,270,274,2,71100
763505,1720813,500,115,9,55000
799631,1799779,280,91,1,21715
778997,1754987,280,104,-2,21100
768081,1730804,500,111,19,60000
770768,1736745,500,109,1,42500
516125,1208061,140,331,5,44000
657133,1495515,275,203,-1,31500
552104,1290411,175,290,-54,37100
758935,1710404,280,118,-1,28500
539221,1260801,300,302,1,89900
880597,1971212,165,33,-14,2000
697856,1580600,175,167,-15,21000
508095,1189196,160,258,-197,8900
815722,1835142,165,81,0,12350
494965,1159474,160,357,2,31800
782395,1762264,130,102,25,15700
538224,1258452,240,304,2,63000
849017,1907657,500,57,1,25000
658243,1498076,175,202,-10,26925
792517,1783916,150,97,-52,5275
549800,1285249,300,292,8,21700
553731,1293743,140,288,-69,9415
418673,1001675,275,438,-2,93800
615628,1401094,275,244,1,64080
836327,1880111,500,68,3,29000
919426,2043309,130,1,13,1000
740304,1668682,280,133,9,29000
645579,1469167,240,211,14,49200
818716,1841859,165,80,0,10700
508243,1189581,160,341,-15,51000
816710,1837306,165,81,25,17000
814606,1832661,165,82,1,11300
818921,1842302,165,79,-23,8175
663135,1509078,175,197,7,33950
480599,1131263,140,294,-139,13650
672470,1529755,160,188,-80,14000
769636,1734195,430,110,10,51000
511871,1198045,300,335,4,88501
705082,1594430,175,161,25,30000
485638,1139521,175,287,-220,1000
656981,1495216,175,203,1,35945
701301,1293457,360,165,-1,23717
513327,1201324,160,333,-1,45640
790137,1778661,500,98,-9,38880
510618,1195118,300,26,80,90000
528404,1235652,175,317,2,53000
816360,1836534,165,81,-19,9300
788314,1774557,280,99,-33,11000
848106,1905580,165,62,2,9500
778102,1575774,165,104,-51,4850
709690,1603936,175,158,-66,14000
726953,1638347,500,145,5,69500
736549,1660135,165,137,23,25000
631284,1436496,475,229,16,94250
788173,1774248,165,99,4,16000
570539,1321481,270,277,-3,67256
533795,1248264,175,310,2,53800
753870,1699004,280,122,-20,23950
494901,1159314,175,357,10,37600
845629,1900149,500,64,2,28500
850117,1910121,150,58,11,9400
799194,1313900,360,92,1,30940
694065,1574537,160,169,-1,24620
741900,1672179,165,132,4,19945
514540,1204283,160,333,-3,45850
715309,1614126,175,154,29,30475
515655,1139432,140,332,1,39200
594590,1354183,160,262,-48,22600
890062,1986615,500,26,10,13000
513618,1202174,160,333,187,74212
515074,1205597,270,332,-11,30150
676273,1538487,175,185,-30,21500
819797,1844302,150,79,-1,10500
486814,1141486,475,368,2,155237
848072,1905513,500,61,6,30000
900794,2004702,220,18,-2,2000
674855,1535000,240,186,-61,18850
612470,1394050,300,245,7,62600
654092,1218194,295,206,-11,30090
561069,1306609,175,284,2,49300
890483,1987311,165,25,15,5000
623770,1419413,175,236,-1,31975
908290,2018250,500,11,19,11800
642682,1462404,175,217,-21,33280
573776,1326504,140,277,5,29840
507387,1187638,500,259,-233,9000
672070,1528794,175,188,7,35813
750847,1692233,500,125,1,56500
773009,1741784,500,108,1,48000
670858,1526341,175,190,0,10575
845085,1898934,130,64,71,16380
533978,1248701,175,309,-33,34350
587858,1348101,160,267,6,40800
830730,1868149,130,72,2,9420
791576,1781893,130,98,14,14200
452899,1082396,175,321,-271,2500
841830,1891983,500,66,1,31500
843770,1896167,165,62,65,20000
451618,1079441,300,355,2,100500
790746,1780001,280,98,5,29280
577658,1331918,475,274,31,141000
549843,1285339,160,292,3,45500
807157,1292053,360,87,-52,7173
564459,1312475,160,281,-42,34000
575441,1329175,140,275,13,30000
853781,1288166,1,0,22,0
718161,1619360,175,152,-3,23600
512211,1198814,475,257,-31,32000
492689,1154491,270,268,4,92815
794187,1787663,500,96,3,46000
841970,1249199,360,66,1,25247
482761,1134817,175,374,5,65000
665715,1514788,175,195,6,34000
888060,1138607,360,26,32,22400
510307,1194397,160,254,-221,4300
768541,1731827,150,111,2,15370
809800,1822039,500,85,5,39000
669318,1522924,175,187,16,17300
744775,1678694,165,130,1,20500
793269,1785631,500,96,1,32000
911182,2024735,500,8,29,15000
815874,1835485,165,81,0,9300
815392,1834423,150,81,6,11500
814651,1832769,165,82,36,22000
799223,1798875,500,92,1,35000
435920,1042571,275,399,-76,76000
681612,1550635,300,148,0,34800
668306,1520543,240,193,7,32800
571460,1323072,140,278,-33,31180
677532,1541345,160,182,-29,11800
857496,1926131,500,53,13,31000
700795,1586173,300,165,1,45000
720519,1623970,175,150,0,21625
793575,1786251,280,96,3,25400
668749,1521433,140,4,10,0
782966,1763507,280,102,9,29500
815393,1834422,280,81,0,14300
548307,1281666,140,292,7,40500
548493,1282164,175,293,-52,18100
751872,1694519,150,124,-9,14000
615613,1401067,175,244,1,41650
809791,1816185,130,85,0,11035
399527,955893,175,453,8,77300
560787,1306043,270,201,-147,4600
549952,1285625,175,291,49,53250
872742,1958995,500,38,9,20000
633424,1441347,175,227,77,52500
876249,1964621,280,36,6,10100
719948,1622730,175,151,14,26350
858199,1300033,280,53,19,19000
438315,1048095,240,419,2,65910
774441,1359491,360,106,-63,6923
828224,1862646,165,74,29,16000
517219,1210313,160,330,-46,40000
512719,1200042,160,334,-2,40400
761212,1715550,500,117,3,38000
815461,1834604,165,81,-1,12550
847401,1904019,165,63,7,10000
435358,1041229,240,424,-8,71800
514611,1204439,140,333,16,45699
819453,1843516,165,79,8,13000
511057,1196114,270,336,-20,42000
707539,1599497,175,160,13,28225
785266,1768551,500,99,1,43000
476326,1123900,275,382,4,102700
752053,1694927,280,124,2,26800
644265,1466136,475,216,9,65000
703609,1591553,300,163,-48,25250
659750,1501430,175,201,9,19600
406644,972777,475,251,52,160522
513431,1201734,140,256,-120,7360
794777,1513515,360,95,4,14400
747973,1511723,1,0,24,0
570627,1321605,160,232,-112,12875
643405,1463952,140,217,5,27200
584136,1341246,160,270,-45,25500
615835,1401526,175,243,39,43000
653666,1487633,160,206,3,31700
854370,1919506,500,56,-3,18000
577918,1332260,160,273,0,43700
898390,2000357,500,19,28,20000
550623,1287189,175,291,3,41000
806256,1814275,165,87,-5,9270
712799,1609744,300,155,11,46100
694879,1193484,300,169,4,44800
820534,1845866,500,78,-9,18500
551048,1288230,175,291,1,47025
731100,1647747,500,141,1,61500
821538,1848083,280,78,-1,12900
822367,1849876,130,77,1,10300
615899,1401635,175,243,9,36750
729288,1403931,360,143,17,49687
697439,1580223,175,167,4,32700
573905,1326891,140,230,-58,9650
411099,983717,475,361,-204,25900
559716,1304396,270,180,-125,5600
646522,1471238,160,214,1,24690
548414,1281964,300,293,3,72000
562348,1309139,475,283,-55,11000
688209,1281825,360,174,2,3228
459374,1094083,175,398,3,75100
894850,1994627,500,22,15,15000
551289,1288688,175,290,-122,20725
731013,1647561,500,141,5,68000
617427,1404971,300,0,7,90000
692495,1208300,360,171,0,54374
604145,1377044,160,254,37,40000
789985,1778294,130,99,-28,8500
512624,1199820,175,252,-164,14200
666633,1233820,330,194,1,38874
909678,2021439,130,10,12,2000
809438,1621146,165,85,6,14000
711029,1606779,275,157,-4,35700
614687,1398964,160,244,11,14200
799847,1639427,500,91,11,45000
745817,977085,360,129,0,10092
782125,1761585,430,102,10,45500
512591,1199739,295,259,-120,37800
